link,name,rating,reviews,categories,tripadvisor_entity_id,province,new_province,tọa độ,vị trí
https://www.tripadvisor.com.vn/Attraction_Review-g1627698-d325305-Reviews-Mekong_River-Long_Xuyen_An_Giang_Province.html,Khu nghỉ dưỡng và Spa Mekong Riverside Boutique,4.3,781,"[{""id"":11159,""name"":""Vùng nước""},{""id"":11163,""name"":""Chuyến tham quan bằng thuyền""}]",325305,An Giang,An Giang,"10.3240208, 106.0200198","Hoa Qui Ward, Hoa Khanh Subdistrict, Cái Bè, Tiền Giang, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g311303-d814880-Reviews-Tra_Su_Bird_Sanctuary-Chau_Doc_An_Giang_Province.html,Rừng Tràm Trà Sư,4.5,399,"[{""id"":11091,""name"":""Khu vực tự nhiên & động vật hoang dã""}]",814880,An Giang,An Giang,"10.585051499999999, 105.0579324","H3M5+WH8, Ấp Văn Trà, Văn Giáo, Tịnh Biên, An Giang 884000, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g311303-d7939827-Reviews-Chau_Doc_Food_Market-Chau_Doc_An_Giang_Province.html,Chợ Châu Đốc,4,119,"[{""id"":11156,""name"":""Cửa hàng đặc sản & cửa hàng quà tặng""},{""id"":11159,""name"":""Vùng nước""}]",7939827,An Giang,An Giang,"10.710801499999999, 105.118476","44 Phan Văn Vàng, Châu Phú A, An Phú, An Giang, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g311303-d5029728-Reviews-Ba_Chua_Xu_Temple-Chau_Doc_An_Giang_Province.html,Miếu Bà Chúa Xứ Núi Sam,4,65,"[{""id"":11160,""name"":""Điểm thu hút khách tham quan & thắng cảnh""}]",5029728,An Giang,An Giang,"10.682134399999999, 105.0802018","925 Phạm Văn Bạch Khóm, Vĩnh Tây 1, Châu Đốc, An Giang, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g1627698-d6519260-Reviews-Blue_Sky_Crocodile_Land_Long_Xuyen_Crocodile-Long_Xuyen_An_Giang_Province.html,Trại Cá Sấu Long Xuyên,2.9,46,"[{""id"":11146,""name"":""Sở thú""}]",6519260,An Giang,An Giang,"10.3400652, 105.4720162","41/1 Trần Hưng Đạo, P. Mỹ Thạnh, Thành phố Long Xuyên, An Giang, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g311303-d8304962-Reviews-Hang_Pagoda_Chua_Hang-Chau_Doc_An_Giang_Province.html,Chùa Hang,4.5,38,"[{""id"":11045,""name"":""Địa điểm tôn giáo""}]",8304962,An Giang,An Giang,"10.6768392, 105.0730933","P. Núi Sam, Châu Đốc, An Giang, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g311303-d6200498-Reviews-Mubarak_Mosque-Chau_Doc_An_Giang_Province.html,Thánh đường Hồi Giáo Mubarak,3.3,29,"[{""id"":11160,""name"":""Điểm thu hút khách tham quan & thắng cảnh""}]",6200498,An Giang,An Giang,"10.710130999999999, 105.12859999999999","P46H+3C5, Châu Phong, Tân Châu, An Giang, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g311303-d10117306-Reviews-Mandarin_Cruises-Chau_Doc_An_Giang_Province.html,Tàu cao tốc Cam Việt,4.1,20,"[{""id"":11163,""name"":""Chuyến tham quan bằng thuyền""},{""id"":11080,""name"":""Phà""}]",10117306,An Giang,An Giang,"10.495406899999999, 105.01764519999999","Nhà ga đi cáp treo, Núi Cấm, Tịnh Biên, An Giang, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g311303-d11624988-Reviews-Chau_Doc_Floating_Market-Chau_Doc_An_Giang_Province.html,Chợ Nổi Châu Đốc,4.3,18,"[{""id"":11160,""name"":""Điểm thu hút khách tham quan & thắng cảnh""},{""id"":11154,""name"":""Chợ trời & chợ đường phố""}]",11624988,An Giang,An Giang,"10.7183534, 105.1155017","P498+86R, Đa Phước, Châu Đốc, An Giang, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g311303-d2614549-Reviews-Chau_Phu_Temple-Chau_Doc_An_Giang_Province.html,Đình thần Châu Phú,3.6,17,"[{""id"":11045,""name"":""Địa điểm tôn giáo""}]",2614549,An Giang,An Giang,"10.7109544, 105.12016779999999","228 Đường Trần Hưng Đạo, Châu Phú A, Châu Đốc, An Giang, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g311303-d4225751-Reviews-Spa_at_Victoria_Chau_Doc_Resort-Chau_Doc_An_Giang_Province.html,Khách sạn Victoria Châu Đốc,4.3,13,"[{""id"":11139,""name"":""Spa""}]",4225751,An Giang,An Giang,"10.7080956, 105.12446879999999","1 Đ. Lê Lợi, Khóm Châu Quới 3, Châu Đốc, An Giang 90100, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g311303-d14795597-Reviews-Tay_An_Temple-Chau_Doc_An_Giang_Province.html,Chùa Tây An,3.8,10,"[{""id"":11045,""name"":""Địa điểm tôn giáo""}]",14795597,An Giang,An Giang,"10.681244999999999, 105.0811372","Đường Đ. Vòng Núi Sam, P. Núi Sam, Châu Đốc, An Giang, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g1627698-d13416527-Reviews-Long_Xuyen_Cathedral-Long_Xuyen_An_Giang_Province.html,Nhà Thờ Chánh Toà Long Xuyên,3.5,4,"[{""id"":11168,""name"":""Nhà thờ & nhà thờ lớn""}]",13416527,An Giang,An Giang,"10.3816651, 105.439663","9 Nguyễn Huệ A, Mỹ Long, Thành phố Long Xuyên, An Giang, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g1627698-d14795568-Reviews-An_Giang_Museum-Long_Xuyen_An_Giang_Province.html,Bảo Tàng An Giang,4.3,3,"[{""id"":11063,""name"":""Viện bảo tàng lịch sử""}]",14795568,An Giang,An Giang,"10.3893646, 105.4350504","11 Đ.Tôn Đức Thắng, P. Mỹ Bình, Thành phố Long Xuyên, An Giang, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g311303-d14795621-Reviews-Thoai_Ngoc_Hau_Tomb-Chau_Doc_An_Giang_Province.html,Lăng Thoại Ngọc Hầu,4,3,"[{""id"":11051,""name"":""Địa điểm lịch sử""}]",14795621,An Giang,An Giang,"10.6819583, 105.0790901","M3JH+QJP, P. Núi Sam, Châu Đốc, An Giang, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g1627698-d14795544-Reviews-President_Ton_Duc_Thang_Memorial_Zone-Long_Xuyen_An_Giang_Province.html,Bảo Tàng Chủ Tịch Tôn Đức Thắng,3.5,2,"[{""id"":11063,""name"":""Viện bảo tàng lịch sử""}]",14795544,An Giang,An Giang,"10.4053423, 105.44598239999999","CC4W+49Q, Ấp Mỹ An 2, Thành phố Long Xuyên, An Giang, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g1627698-d13416465-Reviews-Ton_Duc_Thang_Statue-Long_Xuyen_An_Giang_Province.html,Tượng đài Tôn Đức Thắng,4,2,"[{""id"":11059,""name"":""Đài kỷ niệm & tượng""}]",13416465,An Giang,An Giang,"10.382305299999999, 105.44146219999999","9CJR+WHG, Nguyễn Huệ A, Mỹ Long, Thành phố Long Xuyên, An Giang, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g1627698-d17389876-Reviews-Long_Xuyen_Floating_Market-Long_Xuyen_An_Giang_Province.html,Chợ Nổi Long Xuyên,4.5,2,"[{""id"":11154,""name"":""Chợ trời & chợ đường phố""}]",17389876,An Giang,An Giang,"10.3838523, 105.444642","22 Ngô Thời Nhậm, Street, Thành phố Long Xuyên, An Giang, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g2145099-d18969993-Reviews-Nui_Co_To-An_Giang_Province.html,Núi Cô Tô,5,1,"[{""id"":11089,""name"":""Núi""}]",18969993,An Giang,An Giang,"10.380577599999999, 104.9914601","Tri Tôn, An Giang, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g2145099-d28187761-Reviews-Khu_Du_l_ch_C_n_En_An_Giang_Lugar_Group_The_Lugar_Group-An_Giang_Province.html,Khu Du lịch Cồn Én An Giang - Lugar Group  (The Lugar Group),5,1,"[{""id"":11206,""name"":""Chuyến tham quan sinh thái""},{""id"":11151,""name"":""Chuyến tham quan ngắm cảnh""}]",28187761,An Giang,An Giang,"10.5386899, 105.4921001","Ấp Tấn Long, Tân Long, Chợ Mới, An Giang, Việt Nam"
